,ID3ROG3,Latitude,Longitude
621,12035BF,25.011036,-77.461365
622,12316BF,25.04572132,-77.35421027
623,15741BA,26.153833,50.554945
624,10572BA,26.00272,50.5695
625,19204BA,26.11632,50.54866
626,11140BA,26.140325,50.58981
627,19007BA,26.22972628,50.5797947
628,15175BA,26.215061,50.51786
629,11982BA,26.2111634,50.5543368
630,19226BA,26.03648,50.55428
631,12640BA,26.21,50.58
632,12795BA,26.221775,50.557611
633,12877BA,26.21289543,50.47196569
634,17433BA,26.17886602,50.54577606
635,14371BA,26.08076,50.49473
636,15324BA,26.2189459,50.53643706
637,18211BA,26.204548,50.537994
638,18274BA,26.19677,50.484017
639,15727BA,26.16213365,50.51775906
640,16152BG,22.99644425,89.83624592
641,16182BG,25.86736673,88.84661027
642,19477BG,24.34761757,90.55062673
643,10327BG,23.78929,90.32922
644,16221BG,24.62683587,89.63034353
645,17559BG,25.00757393,92.21543432
646,10454BG,22.84535285,92.34267561
647,16257BG,25.13802921,91.43103082
648,16333BG,23.52590129,90.059086
649,16281BG,23.24331651,89.43777181
650,10564BG,24.40197496,90.55589842
651,16288BG,24.945809,90.363387
652,22339BG,22.35544,89.74316
653,16295BG,22.69122846,92.25421265
654,16296BG,25.07845529,91.51175615
655,16297BG,25.7570357,89.25523419
656,16300BG,24.18240179,90.92876841
657,19688BG,24.07764452,90.01201061
658,19691BG,24.05009714,90.43577787
659,19698BG,24.416425,89.919144
660,19705BG,24.19539208,89.40945148
661,19721BG,24.0199327,90.85636264
662,19724BG,24.81583,89.777012
663,16318BG,24.42033499,90.98661336
664,17482BG,23.01493984,90.02459467
665,16337BG,24.89877,88.75398
666,16382BG,22.73654708,92.10295928
667,10736BG,22.51818548,91.96884514
668,16367BG,25.01958857,91.47256616
669,17489BG,23.06829679,89.91970896
670,16369BG,24.70288,90.45284
671,16370BG,22.76995892,89.83280961
672,16375BG,23.66832598,89.98835772
673,16384BG,23.99184353,90.71322815
674,16385BG,25.80706703,89.2699586
675,16405BG,24.880156,89.310707
676,16406BG,22.71289512,92.0649016
677,16429BG,24.86943448,89.54717897
678,16424BG,25.89333426,89.52960971
679,16426BG,24.30175577,90.77160521
680,21122BG,22.44861309,91.85618202
681,16452BG,25.15810877,88.95011123
682,16447BG,24.888958,91.886858
683,19654BG,24.39236655,90.78203877
684,16457BG,24.66814096,89.84818398
685,16489BG,24.97818085,92.22269218
686,16461BG,25.01810015,91.39505451
687,16463BG,24.98002941,91.61680343
688,20209BG,24.8929,91.858075
689,16468BG,22.86979932,89.74122619
690,16467BG,22.81848198,89.80522084
691,16492BG,24.3582,91.46236
692,20345BG,24.1941448,90.91406572
693,21689BG,23.74745,90.57575
694,21690BG,23.79566,90.26357
695,19943BG,22.98444816,91.97450261
696,19949BG,24.28459168,90.71407853
697,19951BG,24.71291956,88.66769441
698,19960BG,25.05795629,88.92845208
699,19972BG,24.06090447,90.55079373
700,19974BG,22.68631795,92.35745625
701,19977BG,24.09660342,90.59563839
702,16521BG,24.04276766,90.43989596
703,19985BG,24.48221567,88.89317962
