,ID3ROG3,Language,BibleStatus,Speakers,masonpop,masonresid,masonscore,Latitude,Longitude
201,10576CH,Baima,1,17828,1.000741814,0.000741814,0.000372152,33.11403,103.95904
202,10828CH,Biao Mon,1,34279,1.001426716,0.001426716,0.000716409,24.66089,113.42774
203,10829CH,Biao-Jiao Mien,1,99952,1.004160869,0.004160869,0.002090697,25.53835132,111.3508753
204,10882CH,Bit,1,3370,1.000139886,0.000139886,6.96E-05,21.6125,101.41866
205,10886CH,Biyo,1,174023,1.007244656,0.007244656,0.003640723,22.514751,101.6597391
206,10984CH,Bugan,1,3020,1.000125315,0.000125315,6.23E-05,23.61699,104.96042
207,11052CH,"Buyang, Baha",1,729,1.000029934,2.99E-05,1.43E-05,24.27981,104.87568
208,11446CH,Cun,1,98103,1.00408389,0.00408389,0.002052004,19.24128,108.76182
209,11672CH,E,1,7021,1.000291888,0.000291888,0.000146002,24.76436,109.1097
210,11921CH,"Palaung, Shwe",1,244104,1.010162327,0.010162327,0.005107254,24.34836,98.65813
211,11946CH,Groma,1,558,1.000022815,2.28E-05,1.08E-05,27.5906,88.90435
212,11981CH,Guiqiong,1,12768,1.000531152,0.000531152,0.000266265,30.47684,102.1235
213,12129CH,Hu,1,1122,1.000046296,4.63E-05,2.26E-05,22.01512,100.88299
214,12140CH,Tsat,1,8508,1.000353796,0.000353796,0.00017712,37.097818,106.248134
215,12490CH,Kang,1,69657,1.002899603,0.002899603,0.001456737,23.41521,99.40868
216,12665CH,Samtao,1,14947,1.00062187,0.00062187,0.000311863,24.48598,99.17203
217,12688CH,Kim Mun,1,562825,1.023431588,0.023431588,0.01177688,25.65857,108.98492
218,12964CH,"Bai, Lama",1,80236,1.003340036,0.003340036,0.001678116,26.35535562,98.88742904
219,12993CH,Qabiao,1,1314,1.000054289,5.43E-05,2.66E-05,23.24002,104.81094
220,13474CH,Cao Lan,1,256233,1.010667292,0.010667292,0.005361068,24.884,105.301
221,13475CH,Man Met,1,1783,1.000073815,7.38E-05,3.64E-05,22.08417,100.84396
222,13495CH,Mang,1,5326,1.00022132,0.00022132,0.000110532,22.54426,102.94201
223,13521CH,Maonan,1,108069,1.004498803,0.004498803,0.002260555,25.0116,108.02494
224,13703CH,"Miao, Northern Guiyang",1,156431,1.006512251,0.006512251,0.003272589,26.73292735,106.6889587
225,13704CH,"Miao, Horned",1,85116,1.003543205,0.003543205,0.001780236,27.24898,105.52291
226,13705CH,"Miao, Luopohe",1,106447,1.004431275,0.004431275,0.002226613,26.75662632,107.1864501
227,14673CH,Samei,1,22722,1.000945565,0.000945565,0.000474565,24.99538,102.77235
228,14680CH,Samtao,1,14947,1.00062187,0.00062187,0.000311863,22.32816,99.58839
229,14733CH,Hlersu,1,17022,1.000708258,0.000708258,0.000355285,23.53555189,100.7213707
230,14916CH,Shuhi,1,3623,1.000150419,0.000150419,7.49E-05,28.3812,100.38959
231,15603CH,Bonan,1,19888,1.000827578,0.000827578,0.00041526,36.856156,102.183697
232,16028CH,Yerong,1,374,1.000015154,1.52E-05,6.91E-06,23.33917,105.75571
