PeopleID3,ROG3,ROL3,ROL4,Language,LanguageDialect,LanguageRank,Speakers
21064,AO,xdo,0,Kwandu,Kwandu,P,8408
21580,AO,pnd,0,Mpinda,Mpinda,P,34145
21843,AO,hng,0,Hungu,Hungu,P,909496
11165,AQ,eng,0,English,English,P,3752
12322,AQ,jpn,0,Japanese,Japanese,P,964
12795,AQ,kor,0,Korean,Korean,P,530
14676,AQ,smo,0,Samoan,Samoan,P,46187
15175,AQ,tgl,0,Tagalog,Tagalog,P,665
15535,AQ,tkl,0,Tokelauan,Tokelauan,P,86
15554,AQ,ton,0,Tongan,Tongan,P,700
15741,AQ,eng,0,English,English,P,1049
19007,AQ,xxx,0,Unknown,Language unknown,P,275
10421,AR,spa,0,Spanish,Spanish,P,36206972
10429,AR,hyw,0,"Armenian, Western","Armenian, Western",P,152910
10962,AR,gun,0,"Guarani, Mbya","Guarani, Mbya",P,
10966,AR,por,0,Portuguese,Portuguese,P,44475
11065,AR,bel,0,Belarusian,Belarusian,P,
11069,AR,kea,0,Kabuverdianu,Kabuverdianu,P,
11069,AR,spa,0,Spanish,Spanish,S,
11108,AR,cat,3162,Catalan,Catalan: Central,P,203451
11140,AR,eng,0,English,English,P,9695
11234,AR,fra,0,French,French,P,16773
11306,AR,gui,0,"Guarani, Eastern Bolivian","Guarani, Eastern Bolivian",P,
11335,AR,spa,0,Spanish,Spanish,P,212369
11354,AR,gui,10376,"Guarani, Eastern Bolivian","Guarani, Eastern Bolivian: Izoceno",P,24050
11355,AR,nhd,0,"Guarani, Ava","Guarani, Ava",P,24458
11369,AR,crt,0,"Chorote, Iyojwa'ja","Chorote, Iyojwa'ja",P,943
11370,AR,crq,0,"Chorote, Iyo'wujwa","Chorote, Iyo'wujwa",P,1771
11379,AR,cag,0,Nivacle,Nivacle,P,
11437,AR,hrv,0,Croatian,Croatian,P,4282
11458,AR,ces,0,Czech,Czech,P,
11810,AR,glg,0,Galician,Galician,P,774515
11871,AR,deu,0,"German, Standard","German, Standard",P,43073
11942,AR,ell,0,Greek,Greek,P,42237
12273,AR,ita,0,Italian,Italian,P,1148433
12322,AR,jpn,0,Japanese,Japanese,P,38663
12432,AR,kgk,0,Kaiwa,Kaiwa,P,
12795,AR,kor,0,Korean,Korean,P,33309
12863,AR,spa,0,Spanish,Spanish,P,15568
12989,AR,lao,0,Lao,Lao,P,
13526,AR,arn,0,Mapudungun,Mapudungun,P,
13677,AR,pdt,0,Plautdietsch,Plautdietsch,P,4177
13756,AR,moc,0,Mocovi,Mocovi,P,25575
13961,AR,mtp,0,Weenhayek,Weenhayek,P,47278
14276,AR,ajp,0,"Arabic, South Levantine Spoken","Arabic, South Levantine Spoken",P,1189
14312,AR,gug,0,"Guarani, Paraguayan","Guarani, Paraguayan",P,610420
14373,AR,spa,0,Spanish,Spanish,P,173788
14391,AR,plg,0,Pilaga,Pilaga,P,5783
14392,AR,mzh,0,Wichi Lhamtes Guisnay,Wichi Lhamtes Guisnay,P,44902
14431,AR,pol,0,Polish,Polish,P,
14449,AR,por,0,Portuguese,Portuguese,P,15468
14502,AR,quh,0,"Quechua, South Bolivian","Quechua, South Bolivian",P,83331
14504,AR,quh,15871,"Quechua, South Bolivian","Quechua, South Bolivian: Quechua, Northwest Jujuy,",P,2088
14567,AR,rmy,0,"Romani, Vlax","Romani, Vlax",P,60685
14571,AR,ron,0,Romanian,Romanian,P,16773
14598,AR,rus,0,Russian,Russian,P,
14744,AR,qus,0,"Quichua, Santiago del Estero","Quichua, Santiago del Estero",P,65464
14864,AR,srp,0,Serbian,Serbian,P,6539
14962,AR,slk,0,Slovak,Slovak,P,9410
14964,AR,slv,0,Slovene,Slovene,P,11903
15077,AR,spa,0,Spanish,Spanish,P,603552
15080,AR,spa,0,Spanish,Spanish,P,176550
15152,AR,apc,0,"Arabic, North Levantine Spoken","Arabic, North Levantine Spoken",P,1508716
15265,AR,tpj,0,Nandeva,Nandeva,P,586
15319,AR,arn,0,Mapudungun,Mapudungun,P,31130
15517,AR,tob,22280,Toba,Toba: Toba Qom,P,141209
15696,AR,ukr,0,Ukrainian,Ukrainian,P,32122
15739,AR,spa,0,Spanish,Spanish,P,127865
15780,AR,wlv,0,Wichi Lhamtes Vejoz,Wichi Lhamtes Vejoz,P,47278
15791,AR,tob,0,Toba,Toba,P,556
15905,AR,cym,0,Welsh,Welsh,P,5044
18274,AR,tur,0,Turkish,Turkish,P,843
18757,AR,ayr,7,"Aymara, Central","Aymara, Central: Aymara",P,4517
19006,AR,spa,0,Spanish,Spanish,P,1817434
19007,AR,aed,0,Argentine Sign Language,Argentine Sign Language,P,230038
19023,AR,spa,0,Spanish,Spanish,P,137874
19024,AR,spa,0,Spanish,Spanish,P,1334
19206,AR,cmn,0,"Chinese, Mandarin","Chinese, Mandarin",P,78643
19213,AR,spa,0,Spanish,Spanish,P,15662
19214,AR,spa,0,Spanish,Spanish,P,2891
19623,AR,spa,0,Spanish,Spanish,P,1892
19624,AR,spa,0,Spanish,Spanish,P,1445
19626,AR,spa,0,Spanish,Spanish,P,2448
20281,AR,spa,0,Spanish,Spanish,P,1668
20500,AR,spa,0,Spanish,Spanish,P,16679
20501,AR,spa,0,Spanish,Spanish,P,38916
20502,AR,spa,0,Spanish,Spanish,P,74497
20504,AR,spa,0,Spanish,Spanish,P,37804
20505,AR,spa,0,Spanish,Spanish,P,72272
20506,AR,spa,0,Spanish,Spanish,P,4114
20507,AR,spa,0,Spanish,Spanish,P,2115
20508,AR,spa,0,Spanish,Spanish,P,7671
20509,AR,spa,0,Spanish,Spanish,P,3113
20510,AR,spa,0,Spanish,Spanish,P,24462
20511,AR,spa,0,Spanish,Spanish,P,4114
20512,AR,spa,0,Spanish,Spanish,P,16679
20513,AR,spa,0,Spanish,Spanish,P,3224
22317,AR,qus,0,"Quichua, Santiago del Estero","Quichua, Santiago del Estero",P,4821
10134,AS,rop,12353,Kriol,Kriol: Roper River Kriol,P,7406
10168,AS,afr,0,Afrikaans,Afrikaans,P,
10168,AS,eng,0,English,English,S,
10259,AS,aly,0,Alyawarr,Alyawarr,P,1603
10294,AS,amh,0,Amharic,Amharic,P,7044
10311,AS,aoi,0,Anindilyakwa,Anindilyakwa,P,1530
10326,AS,eng,0,English,English,P,17708502
10328,AS,eng,0,English,English,P,42125
10329,AS,eng,0,English,English,P,570146
10330,AS,rme,0,Angloromani,Angloromani,P,6581
10334,AS,amx,0,Anmatyerre,Anmatyerre,P,662
10429,AS,hyw,0,"Armenian, Western","Armenian, Western",P,45618
10464,AS,aii,112,Assyrian Neo-Aramaic,Assyrian Neo-Aramaic: Assyrian,P,28932
10491,AS,bar,0,Bavarian,Bavarian,P,25648
10530,AS,bcj,0,Bardi,Bardi,P,332
10790,AS,ben,0,Bengali,Bengali,P,56476
10953,AS,bos,0,Bosnian,Bosnian,P,34678
10991,AS,pkp,0,Pukapuka,Pukapuka,P,1463
10998,AS,bul,0,Bulgarian,Bulgarian,P,
11026,AS,bvr,0,Burarra,Burarra,P,1086
11029,AS,mya,0,Burmese,Burmese,P,13163
11065,AS,bel,0,Belarusian,Belarusian,P,6455
